Code,Categorie,Nom fédération,Nom catégorie
"FED_101",1,"Fédération Française d'athlétisme","Fédération unisport olympique"
"FED_102",1,"Fédération Française des sociétés d'aviron","Fédération unisport olympique"
"FED_103",1,"Fédération Française de badminton","Fédération unisport olympique"
"FED_105",1,"Fédération Française de basketball","Fédération unisport olympique"
"FED_106",1,"Fédération Française de boxe","Fédération unisport olympique"
"FED_107",1,"Fédération Française de canoë-kayak","Fédération unisport olympique"
"FED_108",1,"Fédération Française de cyclisme","Fédération unisport olympique"
"FED_109",1,"Fédération Française d'équitation","Fédération unisport olympique"
"FED_110",1,"Fédération Française d'escrime","Fédération unisport olympique"
"FED_111",1,"Fédération Française de football","Fédération unisport olympique"
"FED_112",1,"Fédération Française des sports de glace","Fédération unisport olympique"
"FED_113",1,"Fédération Française de gymnastique","Fédération unisport olympique"
"FED_114",1,"Fédération Française d’haltérophilie - musculation","Fédération unisport olympique"
"FED_115",1,"Fédération Française de handball","Fédération unisport olympique"
"FED_116",1,"Fédération Française de hockey","Fédération unisport olympique"
"FED_117",1,"Fédération Française de judo-jujitsu, kendo et disciplines associées","Fédération unisport olympique"
"FED_118",1,"Fédération Française de lutte","Fédération unisport olympique"
"FED_119",1,"Fédération Française de natation","Fédération unisport olympique"
"FED_120",1,"Fédération française de pentathlon moderne","Fédération unisport olympique"
"FED_121",1,"Fédération Française de ski","Fédération unisport olympique"
"FED_122",1,"Fédération Française de taekwondo et disciplines associées","Fédération unisport olympique"
"FED_123",1,"Fédération Française de tennis","Fédération unisport olympique"
"FED_124",1,"Fédération Française de tennis de Table","Fédération unisport olympique"
"FED_125",1,"Fédération Française de tir","Fédération unisport olympique"
"FED_126",1,"Fédération Française de tir à l'arc","Fédération unisport olympique"
"FED_127",1,"Fédération Française de triathlon","Fédération unisport olympique"
"FED_128",1,"Fédération Française de voile","Fédération unisport olympique"
"FED_129",1,"Fédération Française de volleyball","Fédération unisport olympique"
"FED_131",1,"Fédération Française de hockey sur glace","Fédération unisport olympique"
"FED_132",1,"Fédération Française de golf","Fédération unisport olympique"
