PRIMARY_KEY,Employer_category,employee_count,Pay,Economic_sector,TYPE_OF_CONTRACT,WORK_CONDITION,labor_force_status,WORKING_HOURS,work_description,JOB_DEP
1,"ct_9","tr_1",17011,"LZ","CDI","C","O",1470,"543f","01"
8,"ct_9","tr_1",57220,"CG","CDI","C","O",1201,"376d","92"
16,"ct_9","tr_6",53942,"QA","CDI","C","O",1820,"431a","01"
18,"ct_9","tr_1",2012,"NZ","TTP","C","O",352,"652a","01"
40,"ct_9","tr_6",16804,"NZ","CDI","C","O",1820,"684a","71"
44,"ct_2","tr_2",7939,"OZ","CDI","P","O",726,"524c","01"
55,"ct_9","tr_6",21793,"GZ","CDD","C","O",1691,"462c","01"
58,NA,NA,1551,"RZ","CDI","C","O",179,"424a","19"
59,"ct_9","tr_6",15080,"NZ","CDI","C","O",1488,"543b","69"
63,NA,NA,5229,"RZ","CDI","C","O",162,"354b","94"
64,"ct_9","tr_3",50751,"CG","CDI","C","O",1820,"385a","01"
68,"ct_9","tr_5",111453,"MA","CDI","C","O",1820,"385a","01"
70,"ct_2","tr_2",23578,"OZ","AUT","C","O",2561,"524c","01"
80,"ct_9","tr_2",2968,"GZ","APP","C","A",441,"556a","01"
81,"ct_8","tr_4",21746,"PZ","CDI","C","O",2002,"422c","01"
83,"ct_9","tr_6",38739,"CK","CDI","C","O",1806,"462a","01"
86,"ct_9","tr_3",23094,"GZ","CDI","C","O",1428,"477c","69"
91,"ct_9","tr_6",22091,"LZ","CDI","C","O",1750,"382a","01"
93,"ct_9","tr_3",38865,"HZ","CDI","C","O",1820,"333c","69"
99,"ct_9","tr_0",18795,"QB","CDI","C","O",1649,"434d","71"
104,"ct_9","tr_5",52613,"QA","CDI","C","O",1809,"344a","01"
126,"ct_9","tr_4",33520,"GZ","CDI","C","O",2099,"634c","71"
129,"ct_9","tr_2",14938,"GZ","CDD","P","O",1339,"684a","01"
140,"ct_8","tr_2",3750,"PZ","CDI","P","O",289,"422a","01"
152,"ct_9","tr_5",24800,"HZ","CDI","C","O",1715,"676d","01"
156,"ct_8","tr_6",17723,"QB","CDI","P","O",1727,"526a","01"
157,"ct_8","tr_6",25675,"OZ","CDI","C","O",1821,"545d","69"
