PRIMARY_KEY,FORMER_JOB_42,former_emp_contract,retirement_age
5,"csp_6_3","EMP1-6",60
19,"csp_6_2","EMP1-6",60
21,"csp_4_3","EMP1-6",60
25,"csp_3_8","EMP1-6",61
38,"csp_5_2","EMP1-6",60
54,"csp_6_7","EMP1-6",60
87,"csp_4_6","EMP1-6",62
88,"csp_3_8","EMP1-6",65
94,"csp_3_3","EMP1-6",60
95,"csp_6_8","EMP1-6",60
98,"csp_5_2","EMP1-6",60
103,"csp_5_2","EMP1-6",64
105,"csp_5_2","EMP1-6",60
112,"csp_6_2","EMP1-6",60
120,"csp_6_2","EMP1-6",60
123,"csp_4_3","EMP1-6",59
124,"csp_6_4","EMP1-6",56
137,"csp_4_4","EMP1-6",57
138,"csp_2_3","EMP2-2",60
144,"csp_5_6","EMP1-6",55
151,"csp_6_3","EMP1-6",60
153,"csp_6_2","EMP1-6",60
160,"csp_6_4","EMP1-6",63
172,"csp_5_6","EMP1-6",60
182,"csp_3_8","EMP1-6",63
183,"csp_4_6","EMP1-6",65
187,"csp_5_6","EMP1-5",60
195,"csp_2_1","EMP2-1",60
197,"csp_6_3","EMP1-6",65
204,"csp_2_1","EMP2-2",60
210,"csp_1_3","EMP2-2",65
221,"csp_4_5","EMP1-6",60
228,"csp_4_7","EMP1-5",58
231,"csp_4_7","EMP1-6",60
235,"csp_5_2","EMP1-3",60
256,"csp_6_8","EMP1-6",65
262,"csp_1_3","EMP2-2",60
263,"csp_3_1","EMP2-2",60
277,"csp_5_4","EMP1-5",60
295,"csp_6_4","EMP1-6",63
306,"csp_5_6","EMP1-6",60
309,"csp_5_6","EMP1-6",60
310,"csp_4_2","EMP2-1",54
319,"csp_4_7","EMP1-6",60
327,"csp_5_2","EMP1-6",60
330,"csp_6_2","EMP1-6",60
333,"csp_6_8","EMP1-5",61
344,"csp_6_2","EMP1-6",55
358,"csp_1_1","EMP2-3",57
362,"csp_2_1","EMP2-2",60
383,"csp_5_6","EMP1-6",60
388,"csp_6_2","EMP1-6",64
393,"csp_6_8","EMP1-6",60
405,"csp_5_2","EMP1-6",60
