PRIMARY_KEY,Economic_sector,FORMER_DEP,JOB_DEP,work_description,TYPE_OF_CONTRACT,labor_force_status,WORK_CONDITION,Employer_category,WORKING_HOURS,employee_count
5,"GZ","67","67","634a","CDI","O","C","ct_9",793,"tr_1"
19,"FZ","93","78","621b","CDI","O","C","ct_9",1750,"tr_6"
21,"CM","77","89","431f","CDI","O","C","ct_9",1872,"tr_6"
25,"MB","64","64","387b","CDI","O","P","ct_9",781,"tr_6"
38,"QB","60","60","525d","CDI","O","C","ct_9",1785,"tr_4"
54,"HZ","35","35","676c","CDI","O","C","ct_9",1568,"tr_5"
87,"GZ","74","26","462e","CDI","O","C","ct_9",1686,"tr_3"
88,"CI","92","92","388a","CDI","O","C","ct_9",1820,"tr_6"
94,"HZ","13","13","333c","CDI","O","C","ct_9",1820,"tr_3"
95,"MA","75","75","684a","CDI","O","P","ct_9",1237,"tr_1"
98,"QA","51","51","526a","CDI","O","C","ct_9",1820,"tr_5"
103,"OZ",NA,NA,"525b","CDI","O","C","ct_2",1918,"tr_6"
105,"QB","17","17","526c","CDI","O","P","ct_8",901,"tr_1"
112,"CH","02","02","624d","CDI","O","C","ct_9",850,"tr_1"
120,"CM","51","51","628g","CDI","O","C","ct_9",1526,"tr_5"
123,"QA","56","56","431e","CDI","O","P","ct_9",1248,"tr_6"
124,"HZ","77","77","641a","CDI","O","C","ct_9",1846,"tr_3"
137,"SZ","30","30","441a","CDI","O","C","ct_8",1828,"tr_1"
144,"QB","69","69","563b","CDI","O","P","ct_9",922,"tr_3"
151,"FZ","17","17","633b","CDI","O","C","ct_9",1517,"tr_1"
153,"CH","42","42","623g","CDI","O","C","ct_9",1104,"tr_3"
160,"HZ","83","83","641a","CDI","O","C","ct_9",1820,"tr_4"
172,"QB","13","13","563b","CDI","O","P","ct_8",1071,"tr_5"
182,"MA","93","78","382a","CDI","O","P","ct_9",1106,"tr_6"
183,"HZ","17","17","461b","CDI","O","C","ct_5",1820,"tr_5"
187,"QB","43","43","563a","AUT","O","P","ct_2",948,"tr_5"
197,"SZ","75","75","636d","CDI","O","C",NA,334,NA
221,"OZ","44","44","451g","CDI","O","P","ct_2",1455,"tr_6"
