PRIMARY_KEY,RETIREMENT_PAY
5,17598
19,23209
21,21402
25,43811
38,16797
54,14333
87,32528
88,33006
94,22492
95,17806
98,16933
103,18499
105,9935
112,22054
120,16418
123,19550
124,15332
137,18893
144,12052
151,17253
153,26211
160,18736
172,11068
182,20399
183,20354
187,19390
197,11207
221,22307
228,23948
231,22391
235,11891
256,11068
277,15255
295,20874
306,11286
309,11786
319,25543
327,18873
330,17847
333,13003
344,24198
383,10375
388,17298
393,14815
405,15275
406,10518
407,29055
411,21252
412,15366
427,10842
441,14559
451,24204
463,20852
468,14675
471,13980
488,14967
489,21033
498,8881
503,15043
512,16091
522,12920
530,16856
536,32171
538,15804
552,13927
572,19419
573,18027
578,13054
584,14954
596,25759
620,16309
637,21146
645,17919
692,11822
716,14382
717,47140
730,24429
732,11112
737,11068
738,18768
739,30543
742,8881
743,13810
747,16181
766,11392
778,16420
794,14351
795,10789
832,14374
833,14007
852,19346
866,15882
871,14513
873,22043
874,14760
879,11068
904,12575
913,18821
914,13481
937,12731
948,22570
961,14427
971,12053
973,15293
979,31193
990,25655
993,26022
1012,18792
1032,13477
1062,11170
1092,21169
1097,19337
1124,14099
1131,16279
1133,15371
1134,11783
1139,14362
1142,12151
1153,26731
1173,15137
1186,29868
1188,24854
1195,13658
1196,19878
1199,11478
1202,11068
1206,13624
1219,12936
1231,27849
1232,11317
1233,19246
1256,13571
1257,24968
1270,16764
1280,14956
1281,18162
1298,10869
1312,9104
1313,24194
1317,21418
1324,12438
1337,22049
1338,13876
1341,12004
1351,23585
1356,8881
1363,21107
1372,15792
1385,26041
1401,13723
1409,25642
1413,11068
1422,14050
1432,13690
1435,26210
1445,14672
1447,12989
1462,14331
1469,12252
1471,11610
1488,16286
1511,17127
1521,11123
1523,13657
1525,22006
1529,17199
1567,21957
1569,19730
1586,18588
1589,25801
1593,11668
1594,26024
1603,15294
1606,14286
1610,10995
1651,9588
1659,13364
1661,23947
1679,19619
1697,10719
1701,20305
1704,23230
1706,14523
1718,29644
1743,18899
1744,14604
1749,15741
1759,10538
1776,23507
1833,17253
1835,20248
1837,22656
1839,13501
1842,17792
1844,11324
1845,16118
1855,17505
1866,13544
1870,27054
1871,25593
1883,25245
1887,12828
1890,10664
1896,16152
1904,14831
1909,19171
1912,11580
1918,17048
1921,18405
1922,29527
1942,17336
1959,13498
1966,20128
1970,14557
1972,19579
1988,11068
1993,24575
1997,11904
2000,14520
2002,20094
2003,32845
2014,13736
2015,15385
2022,29593
2029,13714
2035,15849
2037,13825
2076,12905
2099,17313
2101,12035
2110,22718
2115,23809
2119,16157
2131,11133
2135,13560
2138,29625
2139,18248
2146,13722
2154,8881
2155,16420
2159,16361
2163,8881
2176,13750
2180,14969
2185,15788
2196,31655
2201,21234
2204,14775
2209,8983
2222,10970
2224,10750
2231,15479
2242,10889
2245,15625
2246,13967
2248,16334
2259,11067
2260,10931
2265,18817
2276,11553
2279,30881
2282,12815
2285,11068
2301,13404
2321,12961
2322,15803
2339,25275
2352,25789
2370,11615
2379,11938
2383,11068
2385,15317
2398,14103
2412,16160
2413,11652
2422,20286
2458,30629
2474,11238
2480,13986
2487,16413
2492,18244
2501,23869
2520,28464
2528,21305
2532,24460
2539,13392
2540,17412
2544,10369
2549,20454
2555,13901
2566,10161
2586,27915
2588,16461
2601,11068
2604,10516
2609,11891
2610,23674
2623,15228
2630,13419
2633,12098
2647,24745
2666,11068
2668,24947
2669,17131
2694,12052
2699,15210
2710,11785
2713,17844
2725,23943
2757,20814
2762,11802
2765,17762
2770,24615
2778,8881
2781,8881
2782,26182
2789,20676
2802,24028
2815,17356
2822,22254
2835,18719
2838,11068
2839,11891
2856,25744
2858,13837
2862,11891
2863,22706
2871,17346
2888,20507
2890,29692
2896,20213
2901,20961
2904,15990
2911,15867
2914,19756
2917,26143
2932,37946
2939,11177
2941,13865
2947,17795
2953,20329
2955,21059
2964,24310
2973,15756
2974,19694
2976,17547
2993,16742
2997,22339
3000,16388
3001,11891
3007,25755
3014,62376
3019,11392
3030,21090
3031,13362
3040,18763
3043,16466
3044,23862
3055,14412
3065,17662
3076,15267
3078,20046
3080,29342
3092,14731
3107,36881
3113,17518
3115,21070
3117,20043
3122,33457
3124,24101
3128,8881
3144,17298
3145,14627
3147,32106
3153,23970
3158,13516
3168,15352
3170,22511
3175,27231
3178,11131
3196,21246
3205,13437
3207,12839
3209,16417
3220,13432
3221,20619
3232,14920
3236,11690
3237,27488
3239,26989
3243,15132
3244,17852
3254,24503
3268,16912
3279,23858
3281,20271
3282,36679
3283,17362
3286,14957
3287,17562
3290,13160
3327,20242
3334,14605
3343,11068
3351,12356
3377,11429
3386,16784
3396,18515
3412,14551
3415,15568
3416,15632
3422,17118
3441,11417
3447,11068
3453,9138
3467,14243
3469,25590
3479,15873
3480,13249
3497,20648
3507,32353
3517,21304
3545,13573
3553,18318
3562,16417
3568,14638
3604,13147
3645,27882
3665,13419
3681,18037
3688,15829
3698,12655
3713,12294
3717,24122
3735,11068
3740,18359
3742,17085
3743,18944
3745,16944
3752,18719
3755,11068
3766,22246
3790,44993
3791,25180
3794,14764
3801,11997
3803,15532
3814,29961
3822,11891
3834,11383
3841,16094
3895,21543
3902,16966
3904,16196
3905,19632
3912,27312
3913,36540
3922,12904
3929,22050
3930,16183
3934,19620
3941,28557
3949,15337
3980,21299
3991,27020
4008,26156
4009,21402
4012,19293
4015,16015
4021,25221
4024,13619
4026,16588
4028,11967
4038,27649
4039,14319
4047,13542
4050,14524
4054,13537
4062,14504
4064,30764
4081,16095
4085,16830
4099,23171
4103,14802
4110,9952
4119,16140
4120,33438
4122,18869
4156,8881
4162,13831
4166,29921
4168,25261
4171,21290
4188,11045
4193,26140
4208,18378
4219,24220
4226,14883
4229,8881
4231,16162
4235,13817
4236,13671
4244,12958
4246,17328
4270,17363
4272,16938
4279,17001
4307,24417
4308,17572
4334,14291
4344,20670
4348,23746
4349,23959
4351,11068
4357,21383
4378,28189
4384,18113
4414,18421
4421,47735
4426,25993
4428,13034
4431,13079
4443,14280
4458,16648
4462,11749
4483,26386
4487,20289
4494,31977
4504,11512
4511,20869
4521,19916
4536,20095
4540,19581
4546,25454
4550,10712
4561,32551
4563,10407
4582,16612
4599,25678
4610,12891
4612,21550
4615,14082
4628,11071
4659,11068
4668,24136
4672,19604
