PRIMARY_KEY,Sports
1,"FED_132"
18,"FED_125"
19,"FED_404"
48,"FED_111"
70,"FED_111"
94,"FED_402"
120,"FED_404"
123,"FED_115"
162,"FED_111"
186,"FED_420"
187,"FED_404"
195,"FED_132"
274,"FED_101"
304,"FED_109"
308,"FED_111"
310,"FED_211"
324,"FED_105"
345,"FED_401"
347,"FED_123"
364,"FED_413"
373,"FED_201"
411,"FED_404"
417,"FED_242"
437,"FED_410"
456,"FED_105"
471,"FED_402"
486,"FED_113"
508,"FED_133"
519,"FED_219"
536,"FED_218"
537,"FED_221"
538,"FED_245"
542,"FED_109"
555,"FED_113"
558,"FED_245"
575,"FED_109"
608,"FED_115"
612,"FED_237"
687,"FED_109"
701,"FED_101"
707,"FED_115"
716,"FED_211"
726,"FED_126"
743,"FED_245"
760,"FED_125"
765,"FED_115"
767,"FED_121"
771,"FED_111"
790,"FED_115"
802,"FED_109"
812,"FED_133"
830,"FED_125"
843,"FED_111"
860,"FED_410"
873,"FED_401"
876,"FED_245"
885,"FED_111"
888,"FED_256"
893,"FED_128"
907,"FED_123"
941,"FED_111"
948,"FED_404"
953,"FED_605"
959,"FED_401"
962,"FED_418"
973,"FED_404"
998,"FED_220"
1007,"FED_249"
1039,"FED_105"
1050,"FED_403"
1057,"FED_129"
1058,"FED_250"
1074,"FED_101"
1125,"FED_109"
1142,"FED_242"
1205,"FED_218"
1226,"FED_403"
1243,"FED_106"
1273,"FED_111"
1276,"FED_133"
1291,"FED_109"
1305,"FED_402"
1313,"FED_245"
1318,"FED_125"
1349,"FED_604"
1353,"FED_114"
1359,"FED_602"
1363,"FED_111"
1365,"FED_403"
1381,"FED_103"
1411,"FED_206"
1419,"FED_602"
1480,"FED_604"
1483,"FED_602"
1484,"FED_602"
1524,"FED_109"
1580,"FED_111"
1645,"FED_123"
1648,"FED_123"
1658,"FED_111"
1661,"FED_402"
1662,"FED_420"
1681,"FED_256"
1696,"FED_249"
1697,"FED_218"
1714,"FED_111"
1715,"FED_242"
1736,"FED_123"
1747,"FED_111"
1758,"FED_109"
1759,"FED_210"
1804,"FED_242"
1805,"FED_111"
1835,"FED_242"
1845,"FED_245"
1854,"FED_402"
1865,"FED_133"
1876,"FED_404"
1880,"FED_402"
1905,"FED_413"
1920,"FED_402"
1921,"FED_403"
1942,"FED_218"
1944,"FED_413"
1947,"FED_413"
1969,"FED_127"
1970,"FED_402"
1972,"FED_134"
2002,"FED_242"
2018,"FED_127"
2037,"FED_402"
2057,"FED_242"
2085,"FED_410"
2086,"FED_111"
2089,"FED_111"
2099,"FED_404"
2112,"FED_603"
2146,"FED_403"
2153,"FED_604"
2154,"FED_403"
2180,"FED_218"
2183,"FED_111"
2202,"FED_403"
2215,"FED_111"
2226,"FED_105"
2249,"FED_256"
2251,"FED_242"
2263,"FED_242"
2265,"FED_410"
2293,"FED_127"
2295,"FED_410"
2319,"FED_206"
2326,"FED_119"
2339,"FED_115"
2351,"FED_124"
2378,"FED_111"
2410,"FED_132"
2430,"FED_604"
2443,"FED_245"
2450,"FED_123"
2458,"FED_245"
2490,"FED_242"
2491,"FED_261"
2499,"FED_109"
2518,"FED_402"
2529,"FED_237"
2571,"FED_420"
2588,"FED_132"
2589,"FED_111"
2615,"FED_117"
2635,"FED_401"
2647,"FED_108"
2650,"FED_125"
2656,"FED_401"
2669,"FED_404"
2673,"FED_401"
2679,"FED_101"
2680,"FED_402"
2694,"FED_111"
2735,"FED_404"
2755,"FED_242"
2770,"FED_211"
2791,"FED_107"
2807,"FED_121"
2813,"FED_242"
2819,"FED_115"
2825,"FED_111"
2834,"FED_111"
2840,"FED_119"
2849,"FED_113"
2859,"FED_129"
2862,"FED_410"
2910,"FED_123"
2953,"FED_221"
2960,"FED_402"
2961,"FED_123"
2962,"FED_111"
2966,"FED_119"
2968,"FED_123"
2983,"FED_410"
2990,"FED_405"
3000,"FED_132"
3040,"FED_245"
3100,"FED_132"
3123,"FED_604"
3135,"FED_111"
3167,"FED_257"
3181,"FED_133"
3202,"FED_420"
3226,"FED_134"
3254,"FED_245"
3299,"FED_242"
3326,"FED_123"
3371,"FED_109"
3386,"FED_123"
3410,"FED_111"
3412,"FED_245"
3415,"FED_132"
3420,"FED_401"
3422,"FED_251"
3426,"FED_402"
3439,"FED_219"
3483,"FED_135"
3514,"FED_123"
3521,"FED_132"
3535,"FED_402"
3572,"FED_133"
3595,"FED_118"
3608,"FED_221"
3623,"FED_115"
3629,"FED_219"
3653,"FED_111"
3654,"FED_135"
3696,"FED_121"
3732,"FED_119"
3751,"FED_420"
3776,"FED_133"
3781,"FED_420"
3813,"FED_132"
3845,"FED_410"
3847,"FED_135"
3895,"FED_132"
3896,"FED_212"
3909,"FED_102"
3952,"FED_604"
3975,"FED_410"
3988,"FED_221"
3998,"FED_115"
4000,"FED_410"
4016,"FED_242"
4025,"FED_123"
4030,"FED_220"
4038,"FED_404"
4039,"FED_211"
4048,"FED_420"
4051,"FED_405"
4070,"FED_123"
4076,"FED_604"
4146,"FED_135"
4166,"FED_108"
4173,"FED_115"
4184,"FED_245"
4194,"FED_134"
4225,"FED_129"
4251,"FED_109"
4252,"FED_202"
4259,"FED_245"
4282,"FED_123"
4283,"FED_125"
4331,"FED_109"
4336,"FED_206"
4337,"FED_123"
4339,"FED_101"
4347,"FED_134"
4360,"FED_125"
4364,"FED_119"
4366,"FED_123"
4380,"FED_254"
4389,"FED_218"
4390,"FED_604"
4392,"FED_205"
4408,"FED_111"
4419,"FED_242"
4420,"FED_123"
4442,"FED_402"
4460,"FED_123"
4471,"FED_410"
4480,"FED_123"
4505,"FED_101"
4537,"FED_604"
4545,"FED_401"
4564,"FED_125"
4569,"FED_133"
4578,"FED_125"
4581,"FED_242"
4593,"FED_403"
4620,"FED_602"
4631,"FED_134"
4695,"FED_243"
4714,"FED_111"
4738,"FED_119"
4767,"FED_402"
4794,"FED_503"
4811,"FED_133"
4813,"FED_601"
4822,"FED_111"
4833,"FED_111"
4835,"FED_107"
4848,"FED_211"
4877,"FED_211"
4892,"FED_111"
4894,"FED_211"
4909,"FED_115"
4920,"FED_109"
4934,"FED_115"
4944,"FED_402"
4992,"FED_211"
4997,"FED_245"
5005,"FED_132"
5028,"FED_111"
5046,"FED_133"
5086,"FED_233"
5120,"FED_604"
5148,"FED_233"
5189,"FED_132"
5191,"FED_109"
5196,"FED_111"
5203,"FED_105"
5209,"FED_420"
5240,"FED_111"
5272,"FED_122"
5302,"FED_242"
5340,"FED_413"
5349,"FED_212"
5353,"FED_101"
5375,"FED_101"
5380,"FED_403"
5381,"FED_129"
5383,"FED_604"
5384,"FED_123"
5397,"FED_202"
5422,"FED_242"
5424,"FED_117"
5493,"FED_113"
5498,"FED_218"
5520,"FED_242"
5524,"FED_115"
5532,"FED_126"
5534,"FED_245"
5545,"FED_121"
5550,"FED_125"
5551,"FED_242"
5560,"FED_101"
5564,"FED_242"
5579,"FED_111"
5581,"FED_258"
5592,"FED_605"
5624,"FED_111"
5628,"FED_420"
5632,"FED_109"
5633,"FED_106"
5638,"FED_132"
5648,"FED_111"
5659,"FED_109"
5669,"FED_420"
5672,"FED_402"
5691,"FED_103"
5743,"FED_402"
5760,"FED_115"
5762,"FED_245"
5811,"FED_111"
5842,"FED_132"
5843,"FED_109"
5889,"FED_115"
5911,"FED_123"
5916,"FED_111"
5922,"FED_124"
5928,"FED_402"
5933,"FED_254"
5946,"FED_402"
5968,"FED_111"
5981,"FED_128"
6012,"FED_111"
6029,"FED_122"
6031,"FED_261"
6082,"FED_134"
6084,"FED_413"
6087,"FED_245"
6106,"FED_245"
6122,"FED_402"
6126,"FED_245"
6139,"FED_111"
6141,"FED_245"
6145,"FED_126"
6219,"FED_401"
6237,"FED_119"
6254,"FED_119"
6263,"FED_242"
6276,"FED_245"
6280,"FED_111"
6285,"FED_111"
6300,"FED_242"
6320,"FED_413"
6341,"FED_109"
6372,"FED_221"
6412,"FED_111"
6416,"FED_109"
6433,"FED_242"
6465,"FED_242"
6469,"FED_105"
6506,"FED_124"
6517,"FED_131"
6523,"FED_202"
6540,"FED_604"
6575,"FED_134"
6623,"FED_218"
6642,"FED_123"
6661,"FED_266"
6672,"FED_204"
6673,"FED_111"
6686,"FED_233"
6699,"FED_132"
6701,"FED_245"
6720,"FED_134"
6724,"FED_213"
6746,"FED_105"
6759,"FED_126"
6766,"FED_105"
6797,"FED_245"
6801,"FED_404"
6819,"FED_233"
6820,"FED_242"
6822,"FED_111"
6826,"FED_133"
6854,"FED_213"
6877,"FED_245"
6882,"FED_111"
6884,"FED_109"
6904,"FED_209"
6919,"FED_119"
6927,"FED_111"
6949,"FED_111"
6957,"FED_245"
6962,"FED_111"
6971,"FED_105"
6974,"FED_113"
6976,"FED_242"
6981,"FED_119"
6995,"FED_403"
7000,"FED_242"
7004,"FED_123"
7005,"FED_111"
7012,"FED_132"
7016,"FED_106"
7049,"FED_109"
7053,"FED_101"
7063,"FED_111"
7089,"FED_111"
7107,"FED_109"
7131,"FED_503"
7153,"FED_123"
7165,"FED_604"
7166,"FED_125"
7178,"FED_109"
7217,"FED_403"
7230,"FED_413"
7260,"FED_132"
7264,"FED_132"
7274,"FED_242"
7297,"FED_125"
7300,"FED_123"
7313,"FED_123"
7340,"FED_111"
7342,"FED_410"
7343,"FED_132"
7353,"FED_113"
7355,"FED_204"
7358,"FED_242"
7373,"FED_119"
7386,"FED_117"
7388,"FED_117"
7437,"FED_133"
7460,"FED_206"
7462,"FED_111"
7470,"FED_103"
7477,"FED_109"
7508,"FED_410"
7520,"FED_233"
7532,"FED_111"
7614,"FED_111"
7619,"FED_117"
7620,"FED_404"
7657,"FED_245"
7661,"FED_125"
7667,"FED_123"
7670,"FED_111"
7686,"FED_245"
7689,"FED_109"
7702,"FED_407"
7713,"FED_111"
7741,"FED_402"
7786,"FED_117"
7803,"FED_123"
7814,"FED_123"
7816,"FED_410"
7826,"FED_115"
7840,"FED_410"
7849,"FED_410"
7856,"FED_125"
7876,"FED_401"
7899,"FED_111"
7901,"FED_111"
7947,"FED_132"
7948,"FED_404"
7953,"FED_119"
7991,"FED_218"
8003,"FED_108"
8011,"FED_123"
8018,"FED_119"
8029,"FED_233"
8037,"FED_413"
8045,"FED_258"
